"","DecreaseAcc","IncNodePurity","Variable","MeanImpScaled","MeanImpPerc","VariableHuman","RFVarExpl"
"Species",271.643080539569,464720.582653851,"Species",0.749043821340207,16.3836503381826,"Species",0.813356345934217
"Group",182.264425022273,116752.911230397,"Group",0.503961804799066,11.0230319754246,"Group",0.813356345934217
"Year",156.891404539823,376787.276758906,"Year",0.434387352268001,9.50124717423643,"Year",0.813356345934217
"Season",168.337754348519,286836.938339663,"Season",0.465773978939819,10.1877591005561,"Season",0.813356345934217
"POS",99.066709611033,133738.575957725,"POS",0.275828323191067,6.033124727528,"Tree Position",0.813356345934217
"Substrate",114.370384529264,200565.568131241,"Substrate",0.317791983169421,6.95098548868563,"Substrate",0.813356345934217
"RainfallIntensity",-1.52477820328901,54919.1676413049,"RainfallIntensity",0,0,"Rainfall Intensity",0.813356345934217
"Replacement",19.9052410785412,44089.1403713476,"Replacement",0.0587624898775765,1.28529741481966,"Tree Replaced",0.813356345934217
"Damage2",29.2172933804141,75486.8189839658,"Damage2",0.0842967356443183,1.84380166032963,"Damage to Tree",0.813356345934217
"SJC002_POM001Combined",53.6328622985195,78604.1081555209,"SJC002_POM001Combined",0.151245794463966,3.3081618738736,"Discharge: SJC & POM",0.813356345934217
"DischargeSJC002_POM001_WN001Combined",43.6436408243956,65811.4666113503,"DischargeSJC002_POM001_WN001Combined",0.123854707314746,2.70904339582172,"Discharge: SJC, POM & WN",0.813356345934217
"POM001",36.9742549838055,56382.0593648321,"POM001",0.105566822791954,2.30903701847733,"Discharge: POM",0.813356345934217
"SJC_002",27.7145528894417,83101.3785150782,"SJC_002",0.0801761246580156,1.75367255485425,"Discharge: SJC",0.813356345934217
"WN001",32.5380049678966,23367.8612521934,"WN001",0.0934023401927583,2.04296629768354,"Discharge: WN1",0.813356345934217
"WN002",30.3734374463099,24285.7502414873,"WN002",0.0874669569621697,1.9131431275263,"Discharge: WN2",0.813356345934217
"Q",13.1864028250792,74757.6165109132,"Q",0.0403390036610762,0.882325055149968,"Stream Flow",0.813356345934217
"DistToSJC002",363.163976927351,624942.050346769,"DistToSJC002",1,21.8727527968505,"Distance to SJC",0.813356345934217
